事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679223613210
4,1679223613340,"(588,968)",,,1,,,MainWindow.centralwidget.tableView.qt_scrollarea_viewport,11,
4,1679223614609,"(247,671)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list2
3,1679223614904,"(247,671)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list2
4,1679223615201,"(247,673)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list3
4,1679223615281,"(247,683)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list3
3,1679223615544,"(247,683)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list3
4,1679223615745,"(247,684)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,list3
4,1679223615866,"(250,736)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
3,1679223616016,"(250,736)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
4,1679223616224,"(252,736)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
4,1679223616362,"(297,765)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
3,1679223616504,"(297,765)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
4,1679223616585,"(297,766)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
4,1679223616697,"(337,833)",,,2,,
3,1679223616832,"(337,833)",1,1,,,
4,1679223616985,"(336,833)",,,1,,
4,1679223617169,"(308,820)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_hcontainer.<class_name=QScrollBar>,5,0
4,1679223617520,"(309,820)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_hcontainer.<class_name=QScrollBar>,5,0
3,1679223617816,"(383,820)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_hcontainer.<class_name=QScrollBar>,5,170
4,1679223618392,"(577,102)",,,2,,
4,1679223619132,"(1192,66)",,,1,,
4,1679223620017,"(1021,722)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QAbstractItemView>.qt_scrollarea_viewport,12,
3,1679223620128,"(1021,722)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QAbstractItemView>.qt_scrollarea_viewport,12,
4,1679223620211,"(1018,723)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QAbstractItemView>.qt_scrollarea_viewport,12,
4,1679223620376,"(937,739)",,,2,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
3,1679223620455,"(937,739)",1,1,,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
4,1679223620528,"(938,739)",,,1,,,MainWindow.centralwidget.columnView.qt_scrollarea_viewport.<class_name=QListView>.qt_scrollarea_viewport,9,
2,1679223621484
