事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679301192270
4,1679301192396,"(369,848)",,,1,,,MainWindow.statusbar,-1,
4,1679301193768,"(220,254)",,,2,,,MainWindow.centralwidget.pushButton,1,PushButton
3,1679301193869,"(220,254)",1,1,,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679301193924,"(221,254)",,,1,,,MainWindow.centralwidget.pushButton,1,PushButton
4,1679301194027,"(315,253)",,,2,,,MainWindow.centralwidget.toolButton,1,toolButton
3,1679301194147,"(315,253)",1,1,,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679301194197,"(316,253)",,,1,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679301194307,"(372,258)",,,2,,,MainWindow.centralwidget.toolButton,1,toolButton
3,1679301194411,"(372,258)",1,1,,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679301194443,"(373,258)",,,1,,,MainWindow.centralwidget.toolButton,1,toolButton
4,1679301194570,"(516,251)",,,2,,,MainWindow.centralwidget.radioButton,1,RadioButton
3,1679301194674,"(516,251)",1,1,,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679301194763,"(517,251)",,,1,,,MainWindow.centralwidget.radioButton,1,RadioButton
4,1679301194973,"(582,252)",,,2,,,MainWindow.centralwidget.checkBox,1,CheckBox
3,1679301195091,"(582,252)",1,1,,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679301195147,"(583,253)",,,1,,,MainWindow.centralwidget.checkBox,1,CheckBox
4,1679301195273,"(607,296)",,,2,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
3,1679301195387,"(607,296)",1,1,,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679301195427,"(607,297)",,,1,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679301195559,"(611,272)",,,2,,,MainWindow.centralwidget,-1,
3,1679301195658,"(611,272)",1,1,,,,MainWindow.centralwidget,-1,
4,1679301195716,"(613,272)",,,1,,,MainWindow.centralwidget,-1,
4,1679301195828,"(634,289)",,,2,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
3,1679301195922,"(634,289)",1,1,,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679301195956,"(635,289)",,,1,,,MainWindow.centralwidget.checkBox_2,1,CheckBox
4,1679301196139,"(769,286)",,,2,,,MainWindow.centralwidget,-1,
3,1679301196219,"(769,286)",1,1,,,,MainWindow.centralwidget,-1,
4,1679301196283,"(770,286)",,,1,,,MainWindow.centralwidget,-1,
4,1679301196355,"(784,296)",,,2,,,MainWindow.centralwidget,-1,
3,1679301196475,"(784,296)",1,1,,,,MainWindow.centralwidget,-1,
4,1679301196611,"(785,296)",,,1,,,MainWindow.centralwidget,-1,
4,1679301196691,"(798,276)",,,2,,,MainWindow.centralwidget.comboBox,2,1
3,1679301196794,"(798,276)",1,1,,,,MainWindow.centralwidget.comboBox,2,1
4,1679301196795,"(798,276)",,,1,,,MainWindow.centralwidget.comboBox,2,1
4,1679301197027,"(1039,275)",,,2,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
3,1679301197147,"(1039,275)",1,1,,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679301197243,"(1032,279)",,,1,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679301197604,"(1005,281)",,,2,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
3,1679301197690,"(1005,281)",1,1,,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679301197739,"(1004,281)",,,1,,,MainWindow.centralwidget.fontComboBox,2,Ubuntu
4,1679301198573,"(199,382)",,,2,,,MainWindow.centralwidget.label,3,TextLabel
3,1679301198698,"(199,382)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
4,1679301198732,"(200,382)",,,1,,,MainWindow.centralwidget.label,3,TextLabel
4,1679301198918,"(293,381)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679301199019,"(293,381)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679301199083,"(291,381)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679301199205,"(189,375)",,,2,,,MainWindow.centralwidget.label,3,TextLabel
3,1679301199315,"(189,375)",1,1,,,,MainWindow.centralwidget.label,3,TextLabel
4,1679301199355,"(191,375)",,,1,,,MainWindow.centralwidget.label,3,TextLabel
4,1679301199566,"(270,375)",,,2,,,MainWindow.centralwidget,-1,
3,1679301199642,"(270,375)",1,1,,,,MainWindow.centralwidget,-1,
4,1679301199652,"(272,375)",,,1,,,MainWindow.centralwidget,-1,
4,1679301199795,"(582,387)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301199938,"(582,387)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200043,"(586,388)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200179,"(618,395)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301200402,"(618,395)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200467,"(618,394)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200549,"(620,371)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301200666,"(620,371)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200732,"(618,371)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301200875,"(457,386)",,,2,,,MainWindow.centralwidget.textEdit,3,"textEdit
"
3,1679301200971,"(457,386)",1,1,,,,MainWindow.centralwidget.textEdit,3,"textEdit
"
4,1679301201027,"(458,386)",,,1,,,MainWindow.centralwidget.textEdit,3,"textEdit
"
4,1679301201171,"(576,386)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301201306,"(576,386)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301201356,"(578,386)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301201476,"(616,395)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301201603,"(616,395)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679301202586,"(616,395)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301202651,"(616,396)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679301203048,"(738,395)",,,2,,,MainWindow.centralwidget,-1,
3,1679301203202,"(738,395)",1,1,,,,MainWindow.centralwidget,-1,
4,1679301203251,"(739,395)",,,1,,,MainWindow.centralwidget,-1,
4,1679301203339,"(778,384)",,,2,,,MainWindow.centralwidget.spinBox,4,第0天
4,1679301203469,"(778,382)",,,1,,,MainWindow.centralwidget.spinBox,4,第0天
3,1679301203523,"(778,382)",1,1,,,,MainWindow.centralwidget.spinBox,4,第0天
4,1679301203707,"(808,378)",,,2,,,MainWindow.centralwidget.spinBox,4,第0天
3,1679301203899,"(808,378)",1,1,,,,MainWindow.centralwidget.spinBox,4,第1天
4,1679301204060,"(809,378)",,,1,,,MainWindow.centralwidget.spinBox,4,第1天
4,1679301204084,"(810,378)",,,2,,,MainWindow.centralwidget.spinBox,4,第1天
