事件类型,事件时间,坐标,鼠标点击类型,鼠标点击按键,鼠标移动类型,键盘点击类型,键盘点击键,组件名,组件类型,组件附加信息
1,1679294534261
4,1679294534887,"(756,803)",,,1,,,MainWindow.statusbar,14,
4,1679294535872,"(303,335)",,,2,,,MainWindow.centralwidget.lineEdit,3,lineEdit
3,1679294535997,"(303,335)",1,1,,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679294536157,"(303,333)",,,1,,,MainWindow.centralwidget.lineEdit,3,lineEdit
4,1679294536607,"(409,331)",,,2,,,MainWindow.centralwidget.textEdit,3,textEdit
3,1679294536724,"(409,331)",1,1,,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679294536884,"(411,331)",,,1,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679294537558,"(428,330)",,,2,,,MainWindow.centralwidget.textEdit,3,textEdit
3,1679294537670,"(428,330)",1,1,,,,MainWindow.centralwidget.textEdit,3,textEdit
3,1679294540783,"(428,330)",1,1,,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679294540815,"(429,330)",,,1,,,MainWindow.centralwidget.textEdit,3,textEdit
4,1679294541206,"(548,329)",,,2,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679294541412,"(548,329)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
3,1679294542755,"(548,329)",1,1,,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679294543153,"(550,329)",,,1,,,MainWindow.centralwidget.plainTextEdit,3,plaintextedit
4,1679294544470,"(807,490)",,,2,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
3,1679294544600,"(807,490)",1,1,,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294544908,"(807,489)",,,1,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294545418,"(808,490)",,,2,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294546612,"(809,491)",,,1,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294546723,"(810,492)",,,2,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294547323,"(810,493)",,,1,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294547572,"(810,495)",,,2,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294556388,"(810,496)",,,1,,,MainWindow.centralwidget.tableWidget.qt_scrollarea_viewport,11,
4,1679294556924,"(1003,393)",,,2,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性1 
3,1679294557028,"(1003,393)",1,1,,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性1 
4,1679294557471,"(1002,394)",,,1,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性1 
4,1679294557610,"(1003,408)",,,2,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性1 
3,1679294557748,"(1003,408)",1,1,,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性1 
4,1679294558184,"(1003,409)",,,1,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性2
4,1679294558186,"(1003,409)",,,2,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性2
4,1679294563392,"(1002,414)",,,1,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性2
4,1679294563629,"(997,428)",,,2,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性2
3,1679294563740,"(997,428)",1,1,,,,MainWindow.centralwidget.treeWidget.qt_scrollarea_viewport,10,属性2
